Date,Open,High,Low,Close,Volume
04/08/2022,171.78,171.78,169.2,170.09,76575508
04/07/2022,171.16,173.36,169.85,172.1399,77594650
04/06/2022,172.36,173.63,170.13,171.83,89058782
04/05/2022,177.5,178.3,174.415,175.06,73401786
04/04/2022,174.57,178.49,174.44,178.44,76545983
04/01/2022,174.03,174.88,171.94,174.31,78751328
03/31/2022,177.84,178.03,174.4,174.61,103049285
03/30/2022,178.55,179.61,176.7,177.77,92633154
03/29/2022,176.69,179.01,176.34,178.96,100589440
03/28/2022,172.1699,175.73,172,175.6,90371916
03/25/2022,173.88,175.28,172.75,174.72,80546156
03/24/2022,171.06,174.1399,170.21,174.07,90131418
03/23/2022,167.99,172.6399,167.65,170.21,98062674
03/22/2022,165.51,169.4199,164.91,168.82,81532007
03/21/2022,163.51,166.35,163.0149,165.38,95811352
03/18/2022,160.51,164.48,159.76,163.98,123511692
03/17/2022,158.61,161,157.63,160.62,75615376
03/16/2022,157.05,160,154.46,159.59,102300157
03/15/2022,150.9,155.57,150.38,155.09,92964302
03/14/2022,151.45,154.12,150.1,150.62,108732111
03/11/2022,158.93,159.28,154.5,154.73,96970102
03/10/2022,160.2,160.3899,155.98,158.52,105342033
03/09/2022,161.475,163.41,159.41,162.95,91454905
03/08/2022,158.82,162.88,155.8,157.44,131148280
03/07/2022,163.36,165.02,159.04,159.3,96418845
03/04/2022,164.49,165.55,162.1,163.1699,83819592
03/03/2022,168.47,168.91,165.55,166.23,76678441
03/02/2022,164.3899,167.36,162.95,166.56,79724750
03/01/2022,164.695,166.6,161.97,163.2,83474425
02/28/2022,163.06,165.4199,162.43,165.12,95056629
02/25/2022,163.84,165.12,160.8738,164.85,91974222
02/24/2022,152.58,162.85,152,162.74,141147540
02/23/2022,165.54,166.15,159.75,160.07,90009247
02/22/2022,164.98,166.69,162.15,164.32,91162758
02/18/2022,169.82,170.5413,166.19,167.3,82772674
02/17/2022,171.03,171.91,168.47,168.88,69589344
02/16/2022,171.85,173.34,170.05,172.55,61177398
02/15/2022,170.97,172.95,170.25,172.79,64286320
02/14/2022,167.37,169.58,166.56,168.88,86185530
02/11/2022,172.33,173.08,168.04,168.6399,98670687
02/10/2022,174.1399,175.48,171.55,172.12,90865899
02/09/2022,176.05,176.65,174.9,176.28,71285038
02/08/2022,171.73,175.35,171.43,174.83,74829217
02/07/2022,172.86,173.9458,170.95,171.66,77251204
02/04/2022,171.68,174.1,170.68,172.3899,82465400
02/03/2022,174.48,176.2399,172.12,172.9,89418074
02/02/2022,174.745,175.88,173.33,175.84,84914256
02/01/2022,174.01,174.84,172.31,174.61,86213911
01/31/2022,170.16,175,169.51,174.78,115541590
01/28/2022,165.71,170.35,162.8,170.33,179935660
01/27/2022,162.45,163.84,158.28,159.22,121954638
01/26/2022,163.5,164.3894,157.82,159.69,108275308
01/25/2022,158.98,162.76,157.02,159.78,115798367
01/24/2022,160.02,162.3,154.7,161.62,162706686
01/21/2022,164.415,166.33,162.3,162.41,122848858
01/20/2022,166.98,169.68,164.18,164.51,91420515
01/19/2022,170,171.08,165.94,166.23,94814990
01/18/2022,171.51,172.54,169.405,169.8,91168729
01/14/2022,171.34,173.78,171.09,173.07,80440780
01/13/2022,175.78,176.62,171.79,172.19,84505760
01/12/2022,176.12,177.18,174.82,175.53,74805173
01/11/2022,172.32,175.18,170.82,175.08,76138312
01/10/2022,169.08,172.5,168.1699,172.19,106765552
01/07/2022,172.8899,174.1399,171.03,172.1699,86709147
01/06/2022,172.7,175.3,171.6399,172,96903955
01/05/2022,179.61,180.1699,174.6399,174.9199,94537602
01/04/2022,182.63,182.94,179.12,179.7,99310438
01/03/2022,177.83,182.88,177.71,182.01,104701220
12/31/2021,178.085,179.23,177.26,177.57,64062261
12/30/2021,179.47,180.57,178.09,178.2,59773014
12/29/2021,179.33,180.63,178.1399,179.38,62348931
12/28/2021,180.16,181.33,178.53,179.29,79144339
12/27/2021,177.085,180.4199,177.07,180.33,74919582
12/23/2021,175.85,176.8499,175.27,176.28,68356567
12/22/2021,173.04,175.86,172.15,175.6399,92135303
12/21/2021,171.555,173.2,169.12,172.99,91185905
12/20/2021,168.28,170.58,167.46,169.75,107499114
12/17/2021,169.93,173.47,169.69,171.1399,195923441
12/16/2021,179.28,181.1399,170.75,172.26,150185843
12/15/2021,175.11,179.5,172.3108,179.3,131063257
12/14/2021,175.25,177.74,172.21,174.33,139380382
12/13/2021,181.115,182.13,175.53,175.74,153237019
12/10/2021,175.205,179.63,174.69,179.45,115402731
12/09/2021,174.91,176.75,173.9199,174.56,108923739
12/08/2021,172.125,175.96,170.7,175.08,116998901
12/07/2021,169.08,171.58,168.34,171.18,120405352
12/06/2021,164.29,167.8799,164.28,165.32,107496982
12/03/2021,164.02,164.96,159.72,161.84,118023116
12/02/2021,158.735,164.2,157.8,163.76,136739174
12/01/2021,167.48,170.3,164.53,164.77,152423003
11/30/2021,159.985,165.52,159.9199,165.3,174048056
11/29/2021,159.37,161.19,158.7901,160.24,88748217
11/26/2021,159.565,160.45,156.36,156.81,76959752
11/24/2021,160.75,162.1399,159.6399,161.94,69463623
11/23/2021,161.12,161.8,159.0601,161.41,96041899
11/22/2021,161.68,165.7,161,161.02,117467889
11/19/2021,157.65,161.02,156.5328,160.55,117305597
11/18/2021,153.71,158.6699,153.05,157.87,137827673
11/17/2021,150.995,155,150.99,153.49,88807000
11/16/2021,149.94,151.488,149.34,151,59256210
11/15/2021,150.37,151.88,149.43,150,59222803
11/12/2021,148.43,150.4,147.48,149.99,63804008
11/11/2021,148.96,149.43,147.681,147.87,40999950
11/10/2021,150.02,150.13,147.85,147.9199,65187092
11/09/2021,150.2,151.428,150.0601,150.81,56787930
11/08/2021,151.41,151.57,150.16,150.44,55020868
11/05/2021,151.8899,152.2,150.06,151.28,65463883
11/04/2021,151.58,152.43,150.6399,150.96,60394616
11/03/2021,150.3899,151.97,149.82,151.49,54511534
11/02/2021,148.66,151.57,148.65,150.02,69121987
11/01/2021,148.985,149.7,147.8,148.96,74588258
10/29/2021,147.215,149.94,146.4128,149.8,124953168
10/28/2021,149.82,153.165,149.72,152.57,100077888
10/27/2021,149.36,149.73,148.49,148.85,56094929
10/26/2021,149.33,150.84,149.0101,149.32,60893395
10/25/2021,148.68,149.37,147.6211,148.6399,50720556
10/22/2021,149.69,150.18,148.6399,148.69,58883443
10/21/2021,148.81,149.6399,147.87,149.48,61420990
10/20/2021,148.7,149.7538,148.12,149.26,58418788
10/19/2021,147.01,149.1699,146.55,148.76,76378894
10/18/2021,143.445,146.84,143.16,146.55,85589175
10/15/2021,143.77,144.895,143.51,144.84,67940334
10/14/2021,142.11,143.88,141.51,143.76,69907100
10/13/2021,141.235,141.4,139.2,140.91,78762721
10/12/2021,143.23,143.25,141.0401,141.51,73035859
10/11/2021,142.27,144.81,141.81,142.81,64452219
10/08/2021,144.03,144.1781,142.56,142.9,58773155
10/07/2021,143.06,144.215,142.72,143.29,61732656
10/06/2021,139.47,142.15,138.37,142,83221119
10/05/2021,139.49,142.24,139.36,141.11,80861062
10/04/2021,141.76,142.21,138.27,139.1399,98322008
10/01/2021,141.9,142.9199,139.1101,142.65,94639581
09/30/2021,143.66,144.3779,141.28,141.5,89056664
09/29/2021,142.47,144.45,142.03,142.83,74602044
09/28/2021,143.25,144.75,141.69,141.91,108972340
09/27/2021,145.47,145.96,143.82,145.37,74150729
09/24/2021,145.66,147.4701,145.56,146.9199,53477869
09/23/2021,146.65,147.08,145.6399,146.83,64838170
09/22/2021,144.45,146.43,143.7001,145.85,76404341
09/21/2021,143.93,144.6,142.78,143.43,75833962
09/20/2021,143.8,144.84,141.27,142.94,123478863
09/17/2021,148.82,148.82,145.76,146.06,129868824
09/16/2021,148.44,148.97,147.221,148.79,68034149
09/15/2021,148.56,149.44,146.37,149.03,83281315
09/14/2021,150.35,151.07,146.91,148.12,109296295
09/13/2021,150.63,151.4199,148.75,149.55,102404329
09/10/2021,155,155.48,148.7,148.97,140893235
09/09/2021,155.49,156.11,153.95,154.07,57305730
09/08/2021,156.98,157.04,153.975,155.11,74420207
09/07/2021,154.97,157.26,154.3899,156.69,82278261
09/03/2021,153.76,154.63,153.09,154.3,57866066
09/02/2021,153.87,154.72,152.4,153.65,71171317
09/01/2021,152.83,154.98,152.34,152.51,80313711
08/31/2021,152.66,152.8,151.29,151.83,86453117
08/30/2021,149,153.49,148.61,153.12,90956723
08/27/2021,147.48,148.75,146.83,148.6,55802388
08/26/2021,148.35,149.12,147.51,147.54,48597195
08/25/2021,149.81,150.32,147.8,148.36,58991297
08/24/2021,149.45,150.86,149.15,149.62,48606428
08/23/2021,148.31,150.19,147.8899,149.71,60131810
08/20/2021,147.44,148.5,146.78,148.19,60549630
08/19/2021,145.03,148,144.5,146.7,86960310
08/18/2021,149.8,150.72,146.15,146.36,86325990
08/17/2021,150.23,151.68,149.09,150.19,92229735
08/16/2021,148.535,151.19,146.47,151.12,103558782
08/13/2021,148.97,149.4444,148.27,149.1,59375009
08/12/2021,146.19,149.05,145.84,148.8899,73779113
08/11/2021,146.05,146.72,145.53,145.86,48493463
08/10/2021,146.44,147.71,145.3,145.6,69023081
08/09/2021,146.2,146.7,145.52,146.09,48908689
08/06/2021,146.35,147.11,145.63,146.1399,54126813
08/05/2021,146.98,147.84,146.1699,147.06,46397674
08/04/2021,147.27,147.79,146.28,146.95,56368271
08/03/2021,145.81,148.0449,145.18,147.36,64786618
08/02/2021,146.36,146.95,145.25,145.52,62879961
