Date,Open,High,Low,Close,Volume,"Up","Down","RSI(14)"
05/16/2022,,,,,0
05/13/2022,,,,,0
05/12/2022,,,,,0
05/11/2022,,,,,0
05/10/2022,,,,,0
05/09/2022,,,,,0
05/06/2022,,,,,0
05/05/2022,,,,,0
05/04/2022,,,,,0
05/03/2022,,,,,0
05/02/2022,,,,,0
04/29/2022,,,,,0
04/28/2022,,,,,0
04/27/2022,,,,,0
04/26/2022,,,,,0
04/25/2022,,,,,0
04/22/2022,,,,,0
04/21/2022,,,,,0
04/20/2022,,,,,0
04/19/2022,,,,,0
04/18/2022,,,,,0
04/15/2022,,,,,0
04/14/2022,,,,,0
04/13/2022,,,,,0
04/12/2022,,,,,0
04/11/2022,,,,,0
04/08/2022,,,,,0
04/07/2022,,,,,0
04/06/2022,1073.47,1079,1027.7,1045.76,29782848,29782848,,57.52767609113507
04/05/2022,1136.3,1152.8699,1087.3,1091.26,26691673,26691673,,64.22066688475205
04/04/2022,1089.38,1149.91,1072.53,1145.45,27392567,27392567,,73.70391279609822
04/01/2022,1081.15,1094.75,1066.64,1084.59,18087741,18087741,,68.91729017306338
03/31/2022,1094.57,1103.1398,1076.641,1077.6,16330919,16330919,,68.3019270557441
03/30/2022,1091.17,1113.95,1084,1093.99,19955002,19955002,,71.37872124180669
03/29/2022,1107.99,1114.77,1073.1099,1099.57,24538273,24538273,,72.40990009836258
03/28/2022,1065.1,1097.8799,1053.6,1091.84,34168693,34168693,,71.8874729537378
03/25/2022,1008,1021.7999,997.3201,1010.64,20677182,20677182,,65.5188406984769
03/24/2022,1009.73,1024.49,988.8,1013.92,22973626,22973626,,66.08034321488951
03/23/2022,979.94,1040.7,976.4,999.11,40225383,40225383,,64.81611394951975
03/22/2022,930,997.86,921.75,993.98,35289519,35289519,,64.38920656846099
03/21/2022,914.98,942.85,907.09,921.16,27327216,27327216,,57.609571993516674
03/18/2022,874.49,907.85,867.39,905.39,33471397,33471397,,55.92207861641671
03/17/2022,830.99,875,825.7178,871.6,22194324,22194324,,52.13064300986223
03/16/2022,809,842,802.2601,840.23,28009607,28009607,,48.29673020574784
03/15/2022,775.27,805.57,756.57,801.89,22280381,22280381,,43.127316831180885
03/14/2022,780.61,800.7,756.04,766.37,23717421,23717421,,37.77523583578744
03/11/2022,840.197,843.802,793.77,795.35,22345722,22345722,,40.675176744341464
03/10/2022,851.45,854.45,810.3601,838.3,19549548,19549548,,45.48006317482437
03/09/2022,839.48,860.56,832.01,858.97,19727993,19727993,,48.01472946887243
03/08/2022,795.53,849.99,782.17,824.4,26799702,26799702,,43.08900483170399
03/07/2022,856.3,866.14,804.57,804.58,24164724,24164724,,40.06567868138181
03/04/2022,849.1,855.65,825.1609,838.29,22393287,22393287,,43.7350242218905
03/03/2022,878.77,886.439,832.6001,839.29,20541169,20541169,,43.845635405491656
03/02/2022,872.13,886.48,844.2721,879.89,24881146,24881146,,48.46684619740536
03/01/2022,869.68,889.88,853.78,864.37,24922287,24922287,,46.46395817586486
02/28/2022,815.01,876.86,814.7075,870.43,33002289,33002289,,47.128077155464524
02/25/2022,809.23,819.5,782.4005,809.87,25355921,25355921,,39.04305014944086
02/24/2022,700.39,802.48,700,800.77,45107425,45107425,,37.714074153866825
02/23/2022,830.4299,835.2997,760.5599,764.04,31752336,31752336,,32.17164645090708
02/22/2022,834.13,856.7338,801.1001,821.53,27762734,27762734,,36.95041668048831
02/18/2022,886,886.87,837.61,856.98,22833947,22833947,,40.385243241678076
02/17/2022,913.26,918.4999,874.1,876.35,18392806,18392806,,42.38427130575922
02/16/2022,914.05,926.4299,901.21,923.39,17098132,17098132,,47.709718066131565
02/15/2022,900,923,893.3774,922.43,19216514,19216514,,47.58491453845287
02/14/2022,861.57,898.8799,853.15,875.76,22585472,22585472,,41.255639919672724
02/11/2022,909.63,915.96,850.7,860,26548623,26548623,,38.94378128358964
02/10/2022,908.37,943.81,896.7,904.55,22042277,22042277,,43.43013012678136
02/09/2022,935,946.2699,920,932,17419848,17419848,,46.494690945125264
02/08/2022,905.53,926.2899,894.8,922,16909671,16909671,,45.18629484411632
02/07/2022,923.79,947.77,902.7089,907.34,20331488,20331488,,43.29880841841901
02/04/2022,897.22,936.5,881.17,923.32,24541822,24541822,,44.86244468486869
02/03/2022,882,937,880.52,891.14,26285186,26285186,,40.869474079057454
02/02/2022,928.18,931.5,889.41,905.66,22264345,22264345,,42.14833987896502
02/01/2022,935.21,943.7,905,931.25,24263041,24263041,,44.42320028964844
01/31/2022,872.71,937.99,862.05,936.72,34812032,34812032,,44.90425461967236
01/28/2022,831.5599,857.5,792.01,846.35,44929650,44929650,,33.92800489362
01/27/2022,933.36,935.39,829,829.1,49036523,49036523,,31.50950336914025
01/26/2022,952.43,987.69,906,937.41,34955761,34955761,,40.058581450397355
01/25/2022,914.2,951.26,903.21,918.4,28865302,28865302,,37.285420221791945
01/24/2022,904.76,933.5131,851.47,930,50791714,50791714,,38.28914574851374
01/21/2022,996.34,1004.55,940.5,943.9,34472009,34472009,,39.47145528780002
01/20/2022,1009.73,1041.66,994,996.27,23496248,23496248,,44.25192751131348
01/19/2022,1041.705,1054.6699,995,995.65,25147496,25147496,,44.17760496878052
01/18/2022,1026.605,1070.7899,1016.06,1030.51,22329803,22329803,,47.48264410905512
01/14/2022,1019.88,1052,1013.3788,1049.6099,24308137,24308137,,49.36144758187774
01/13/2022,1109.065,1115.6,1026.5391,1031.56,32403264,32403264,,47.53992573819214
01/12/2022,1078.85,1114.84,1072.59,1106.22,27913005,27913005,,55.16094992714103
01/11/2022,1053.67,1075.85,1038.82,1064.4,22021070,22021070,,51.082138127441404
01/10/2022,1000,1059.1,980,1058.1199,30604959,30604959,,50.453665098084485
01/07/2022,1080.3699,1080.9299,1010,1026.96,28054916,28054916,,47.336393915373534
01/06/2022,1077,1088,1020.5,1064.7,30112158,30112158,,50.94094518328111
01/05/2022,1146.65,1170.34,1081.0101,1088.1199,26706599,26706599,,53.27875152988262
01/04/2022,1189.55,1208,1123.05,1149.59,33416086,33416086,,59.98845646020203
01/03/2022,1147.75,1201.07,1136.04,1199.78,34895349,34895349,,66.32085260313359
12/31/2021,1073.4444,1081.9999,1054.59,1056.78,13577875,13577875,,53.270356784054705
12/30/2021,1061.33,1095.55,1053.15,1070.34,15680313,15680313,,55.152129546692905
12/29/2021,1098.64,1104,1064.14,1086.19,18718015,18718015,,57.35104115921611
12/28/2021,1109.49,1118.9999,1078.42,1088.47,20107969,20107969,,57.65810362852506
12/27/2021,1073.67,1117,1070.7152,1093.94,23715273,23715273,,58.35412859096368
12/23/2021,1006.8,1072.9767,997.56,1067,30904429,30904429,,55.92066367147309
12/22/2021,965.66,1015.6599,957.05,1008.87,31211362,31211362,,50.075679386418145
12/21/2021,916.87,939.5,886.12,938.53,23839305,23839305,,41.335010804535486
12/20/2021,910.7,921.6884,893.39,899.94,18826671,18826671,,35.59025168434154
12/17/2021,914.77,960.6599,909.0401,932.57,33626754,33626754,,38.55458084343903
12/16/2021,994.5,994.98,921.85,926.92,27590483,27590483,,37.72054082337519
12/15/2021,953.21,978.7499,928.2501,975.99,25056410,25056410,,42.35722847978655
12/14/2021,945,966.41,930,958.51,23602090,23602090,,39.91411828564103
12/13/2021,1001.09,1005,951.42,966.41,26198502,26198502,,40.63692134124009
12/10/2021,1008.75,1020.9797,982.53,1017.03,19888122,19888122,,45.54415142041906
12/09/2021,1060.64,1062.49,1002.36,1003.8,19812832,19812832,,43.9000402032241
12/08/2021,1052.71,1072.38,1033.0001,1068.96,13968790,13968790,,50.93270564879438
12/07/2021,1044.2,1057.6739,1026.81,1051.75,18694857,18694857,,48.92606564881442
12/06/2021,1001.51,1021.64,950.5,1009.01,27221037,27221037,,43.60786314919896
12/03/2021,1084.79,1090.5753,1000.21,1014.97,30773995,30773995,,44.203872303245525
12/02/2021,1099.06,1113,1056.65,1084.6,24371623,24371623,,51.898932072964335
12/01/2021,1160.695,1172.8399,1090.76,1095,22934698,22934698,,53.18296599340869
11/30/2021,1144.3699,1168,1118,1144.76,27092038,27092038,,59.75083365224779
